TABLE_NAME,COLUMN_NAME,DATA_TYPE,FK_Table,FK_Column
"teachers","deleted_at","datetime","",""
"teachers","created_by","int","",""
"teachers","updated_by","int","",""
"teachers","bank_account_info","text","",""
"teachers","tax_id","varchar","",""
"teachers","status","enum","",""
"skill_scores","id","int","",""
"skill_scores","student_id","int","students","id"
"skill_scores","topic_id","int","skill_topics","id"
"skill_scores","score","decimal","",""
"skill_scores","note","text","",""
"skill_scores","updated_by","int","users","id"
"skill_scores","updated_at","datetime","",""
"leave_requests","id","int","",""
"leave_requests","student_id","int","students","id"
"leave_requests","session_id","int","sessions","id"
"leave_requests","reason","text","",""
"leave_requests","type","enum","",""
"leave_requests","status","enum","",""
"leave_requests","requested_at","datetime","",""
"leave_requests","approved_by","int","users","id"
"leave_requests","institute_id","int","institutes","id"
"parents","id","int","",""
"parents","user_id","int","users","id"
"parents","user_id","int","",""
"parents","student_id","int","students","id"
"parents","full_name","varchar","",""
"parents","phone","varchar","",""
"parents","line_user_id","varchar","",""
"parents","relationship","varchar","",""
"users","id","int","",""
"users","institute_id","int","institutes","id"
"users","email","varchar","",""
"users","phone","varchar","",""
"users","role","varchar","",""
"users","line_user_id","varchar","",""
"users","password_hash","varchar","",""
"users","reset_token","varchar","",""
"users","reset_token_expiry","datetime","",""
"users","created_at","timestamp","",""
"users","updated_at","timestamp","",""
"makeup_credits","id","int","",""
"makeup_credits","student_id","int","students","id"
"makeup_credits","course_id","int","courses","id"
"makeup_credits","granted_at","datetime","",""
"makeup_credits","expires_at","date","",""
"makeup_credits","used_session_id","int","sessions","id"
"makeup_credits","institute_id","int","institutes","id"
"homeworks","id","int","",""
"homeworks","course_id","int","courses","id"
"homeworks","title","varchar","",""
"homeworks","description","text","",""
"homeworks","file_url","varchar","",""
"homeworks","due_at","datetime","",""
"homeworks","assigned_by","int","teachers","id"
"homeworks","institute_id","int","institutes","id"
